정답여부, 문제 번호, 문제이름
true,1812,사탕
true,1813,마지막 한마디
true,1814,지붕 색칠하기
true,1815,방송국
true,1817,짐 챙기는 숌
true,1818,책정리
true,1821,수들의 합
true,1822,차집합
true,1824,도미노
true,1826,연료 채우기
true,1833,고속철도 설계하기
true,1834,나머지와 몫이 같은 수
true,1835,카드
true,1836,트리의 가짓수 세기
true,1837,암호제작
true,1838,버블 정렬
true,1839,트리 모델 만들기
true,1841,군사 배치
true,1842,게임하기
true,1844,농지 정리
true,1846,장기
true,1847,볼록다각형 만들기
true,1848,동굴 탐험
true,1849,순열
true,1850,최대공약수
true,1851,추 정렬하기
true,1854,K번째 최단경로 찾기
true,1856,단어 게임
true,1857,발레리노
true,1858,기울기가 가장 큰 두 점
true,1859,성적
true,1864,문어 숫자
true,1865,웜홀
true,1866,택배
true,1867,돌멩이 제거
true,1868,보물찾기
true,1871,좋은 자동차 번호판
true,1874,스택 수열
true,1875,테트리스
true,1880,Big Brother
true,1884,고속도로
true,1885,비부분수열
true,1886,프리즌 브레이크
true,1890,점프
true,1895,필터
true,1900,레슬러
true,1902,špilja
true,1904,01타일
true,1909,냄새 싫어
true,1910,위닝
true,1911,흙길 보수하기
true,1912,연속합
true,1913,달팽이
true,1914,하노이 탑
true,1915,가장 큰 정사각형
true,1916,최소비용 구하기
true,1918,후위 표기식
true,1919,애너그램 만들기
true,1920,수 찾기
true,1922,네트워크 연결
true,1924,2007년
true,1925,삼각형
true,1926,그림
true,1927,최소 힙
true,1929,소수 구하기
true,1931,회의실배정
true,1932,정수 삼각형
true,1933,스카이라인
true,1934,최소공배수
true,1935,후위 표기식2
true,1937,욕심쟁이 판다
true,1939,중량제한
true,1940,주몽
true,1945,직사각형
true,1946,신입 사원
true,1947,선물 전달
true,1949,우수 마을
true,1951,활자
true,1952,달팽이2
true,1955,수식 표현
true,1956,운동
true,1957,앉았다 일어나기
true,1958,LCS 3
true,1960,행렬만들기
true,1963,소수 경로
true,1964,"오각형, 오각형, 오각형…"
true,1965,상자넣기
true,1966,프린터 큐
true,1967,트리의 지름
true,1969,DNA
true,1972,놀라운 문자열
true,1975,Number Game
true,1976,여행 가자
true,1977,완전제곱수
true,1978,소수 찾기
true,1981,배열에서 이동
true,1982,호텔예약
true,1983,숫자 박스
true,1987,알파벳
true,1988,낮잠 시간
true,1989,부분배열 고르기 2
true,1990,소수인팰린드롬
true,1991,트리 순회
true,1992,쿼드트리
true,1994,등차수열
true,1995,폐쇄회로
true,1999,최대최소
true,2000,책장제작
true,2001,보석 줍기
true,2002,추월
true,2003,수들의 합 2
true,2004,조합 0의 개수
true,2010,플러그
true,2011,암호코드
true,2012,등수 매기기
true,2013,선그리기
true,2014,소수의 곱
true,2015,수들의 합 4
true,2018,수들의 합 5
true,2021,최소 환승 경로
true,2022,사다리
true,2023,신기한 소수
true,2024,선분 덮기
true,2026,소풍
true,2028,자기복제수
true,2033,반올림
true,2036,수열의 점수
true,2038,골롱 수열
true,2042,구간 합 구하기
true,2051,최소 버텍스 커버
true,2052,지수연산
true,2053,반직선
true,2056,작업
true,2057,팩토리얼 분해
true,2061,좋은 암호
true,2063,철사 연결
true,2064,IP 주소
true,2066,카드놀이
true,2070,목걸이 수열
true,2073,수도배관공사
true,2074,거듭제곱 계산하기
true,2075,N번째 큰 수
true,2076,2차원 벡터
true,2078,무한이진트리
true,2079,팰린드롬
true,2083,럭비 클럽
true,2086,피보나치 수의 합
true,2087,암호문
true,2088,트리의 개수
true,2089,-2진수
true,2092,집합의 개수
true,2094,강수량
true,2096,내려가기
true,2097,조약돌
true,2098,외판원 순회
true,2099,The game of death
true,2101,이미지의 에너지
true,2102,보석 줍기
true,2103,직교다각형 복원
true,2104,부분배열 고르기
true,2105,꼬리달린 박성원숭이
true,2108,통계학
true,2109,순회강연
true,2110,공유기 설치
true,2111,선인장
true,2112,두 부분 문자열
true,2115,갤러리
true,2116,주사위 쌓기
true,2117,원형 댄스
true,2118,두 개의 탑
true,2121,넷이 놀기
true,2122,여섯이서 놀기
true,2123,인간 탑 쌓기
true,2125,좀
true,2126,지진
true,2130,수조
true,2132,나무 위의 벌레
true,2133,타일 채우기
true,2135,문자열 압축하기
true,2136,개미
true,2138,전구와 스위치
true,2140,지뢰찾기
true,2141,우체국
true,2142,정돈된 배열
true,2143,두 배열의 합
true,2145,숫자 놀이
true,2146,다리 만들기
true,2150,Strongly Connected Component
true,2151,거울 설치
true,2152,여행 계획 세우기
true,2153,소수 단어
true,2154,수 이어 쓰기 3
true,2156,포도주 시식
true,2157,여행
true,2159,케익 배달
true,2160,그림 비교
true,2161,카드1
true,2162,선분 그룹
true,2163,초콜릿 자르기
true,2164,카드2
true,2166,다각형의 면적
true,2167,2차원 배열의 합
true,2168,타일 위의 대각선
true,2169,로봇 조종하기
true,2170,선 긋기
true,2171,직사각형의 개수
true,2172,팰린드롬 경로
true,2173,양파깡 만들기
true,2176,합리적인 이동경로
true,2178,미로 탐색
true,2179,비슷한 단어
true,2180,소방서의 고민
true,2183,테니스 시합
true,2184,김치 배달
true,2185,직사각형의 합집합
true,2187,점 고르기
true,2188,축사 배정
true,2190,점 고르기2
true,2191,들쥐의 탈출
true,2192,두 수열
true,2193,이친수
true,2195,문자열 복사
true,2196,이진수 XOR
true,2197,분해 반응
true,2201,이친수 찾기
true,2204,도비의 난독증 테스트
true,2206,벽 부수고 이동하기
true,2207,가위바위보
true,2208,보석 줍기
true,2209,버스 터미널
true,2210,숫자판 점프
true,2211,네트워크 복구
true,2212,센서
true,2213,트리의 독립집합
true,2215,원형 네트워크
true,2216,문자열과 점수
true,2217,로프
true,2220,힙 정렬
true,2224,명제 증명
true,2225,합분해
true,2226,이진수
true,2228,구간 나누기
true,2229,조 짜기
true,2231,분해합
true,2233,사과나무
true,2234,성곽
true,2237,수열 축소
true,2239,스도쿠
true,2240,자두나무
true,2242,삼각형 만들기
true,2243,사탕상자
true,2244,민코프스키 합
true,2245,배열 정리하기
true,2246,콘도 선정
true,2248,이진수 찾기
true,2250,트리의 높이와 너비
true,2251,물통
true,2252,줄 세우기
true,2253,점프
true,2254,감옥 건설
true,2256,젓가락
true,2258,정육점
true,2259,두더지 잡기
true,2261,가장 가까운 두 점
true,2262,토너먼트 만들기
true,2263,트리의 순회
true,2266,금고 테스트
true,2268,수들의 합
true,2270,하노이 탑
true,2271,암호화 알고리즘의 약점
true,2272,램프
true,2273,줄 서기
true,2276,물 채우기
true,2281,데스노트
true,2282,산맥 그리기
true,2283,구간 자르기
true,2284,레이스
true,2285,우체국
true,2291,Sequence
true,2292,벌집
true,2293,동전 1
true,2294,동전 2
true,2295,세 수의 합
true,2296,건물짓기
true,2297,직각 이등변 삼각형
true,2300,기지국
true,2301,마법 구슬
true,2302,극장 좌석
true,2303,숫자 게임
true,2304,창고 다각형
true,2305,자리 배치
true,2306,유전자
true,2307,도로검문
true,2309,일곱 난쟁이
true,2311,왕복 여행
true,2312,수 복원하기
true,2313,보석 구매하기
true,2314,이세계 게임
true,2315,가로등 끄기
true,2316,도시 왕복하기 2
true,2317,결혼식
true,2319,문자열 복원하기
true,2320,끝말잇기
true,2322,아령
true,2325,개코전쟁
true,2326,최소 편집 문제 2
true,2327,말아톤
true,2328,그래프의 해시
true,2329,장애물 설계
true,2330,미생물 연구실
true,2331,반복수열
true,2335,농부
true,2336,굉장한 학생
true,2337,트리 자르기
true,2338,긴자리 계산
true,2339,석판 자르기
true,2341,팩스 문제
true,2342,Dance Dance Revolution
true,2343,기타 레슨
true,2344,거울
true,2350,대운하
true,2351,미지의 다각형
true,2352,반도체 설계
true,2354,비교교환
true,2355,시그마
true,2357,최솟값과 최댓값
true,2358,평행선
true,2359,드라이브
true,2360,Teleport
true,2364,담장 너머로
true,2365,숫자판 만들기
true,2366,이진트리 그리기
true,2367,파티
true,2369,행렬의 부분합
true,2370,시장 선거 포스터
true,2373,Fibonacci Game
true,2374,같은 수로 만들기
true,2376,단말 정점들의 거리
true,2378,불필요한 수
true,2381,최대 거리
true,2386,도비의 영어 공부
true,2388,블록 쌓기
true,2389,세상의 중심에서...
true,2391,Sascha
true,2392,다각형의 분할
true,2394,드라이브 투어
true,2395,순열의 개수
true,2397,보이는 정사각형
true,2398,3인통화
true,2399,거리의 합
true,2401,최대 문자열 붙여넣기
true,2402,거짓말
true,2405,"세 수, 두 M"
true,2407,조합
true,2408,큰 수 계산
true,2410,2의 멱수의 합
true,2411,아이템 먹기
true,2412,암벽 등반
true,2413,비슷한 순열
true,2414,게시판 구멍 막기
true,2415,직사각형
true,2416,문
true,2417,정수 제곱근
true,2418,단어 격자
true,2419,사수아탕
true,2420,사파리월드
true,2421,저금통
true,2422,한윤정이 이탈리아에 가서 아이스크림을 사먹는데
true,2423,전구를 켜라
true,2424,부산의 해적
true,2426,세계적인 석유 재벌
true,2427,2012 지구 멸망
true,2428,표절
true,2429,길이
true,2430,거울대칭트리 그래프
true,2431,신호 장애
true,2432,순위 정렬
true,2433,The Sound of Silence
true,2434,점 연결하기
true,2435,기상청 인턴 신현수
true,2436,공약수
true,2437,저울
true,2438,별 찍기 - 1
true,2439,별 찍기 - 2
true,2440,별 찍기 - 3
true,2441,별 찍기 - 4
true,2442,별 찍기 - 5
true,2443,별 찍기 - 6
true,2444,별 찍기 - 7
true,2445,별 찍기 - 8
true,2446,별 찍기 - 9
true,2447,별 찍기 - 10
true,2448,별 찍기 - 11
true,2449,전구
true,2450,모양 정돈
true,2451,모둠
true,2452,그리드 게임
true,2453,부서 배치
true,2454,트리 분할
true,2455,지능형 기차
true,2456,나는 학급회장이다
true,2457,공주님의 정원
true,2458,키 순서
true,2459,철사 자르기
true,2460,지능형 기차 2
true,2461,대표 선수
true,2463,비용
true,2464,비밀번호
true,2465,줄 세우기
true,2466,책장
true,2467,용액
true,2468,안전 영역
true,2469,사다리 타기
true,2470,두 용액
true,2472,체인점
true,2473,세 용액
true,2474,교차 선분
true,2475,검증수
true,2476,주사위 게임
true,2477,참외밭
true,2479,경로 찾기
true,2480,주사위 세개
true,2481,해밍 경로
true,2482,색상환
true,2483,병원
true,2484,주사위 네개
true,2485,가로수
true,2487,섞기 수열
true,2488,줄다리기
true,2490,윷놀이
true,2491,수열
true,2492,보석
true,2493,탑
true,2494,숫자 맞추기
true,2495,연속구간
true,2496,금강석
true,2498,중앙문자열
true,2499,의좋은 형제
true,2500,복불복
true,2501,약수 구하기
true,2502,떡 먹는 호랑이
true,2503,숫자 야구
true,2504,괄호의 값
true,2505,두 번 뒤집기
true,2506,점수계산
true,2507,공주 구하기
true,2511,카드놀이
true,2512,예산
true,2513,통학버스
true,2514,자동분무기
true,2515,전시장
true,2516,원숭이
true,2517,달리기
true,2518,회전 테이블
true,2519,막대기
true,2522,별 찍기 - 12
true,2523,별 찍기 - 13
true,2525,오븐 시계
true,2526,싸이클
true,2527,직사각형
true,2528,사다리
true,2529,부등호
true,2530,인공지능 시계
true,2531,회전 초밥
true,2532,먹이사슬
true,2533,사회망 서비스(SNS)
true,2534,카드 배열
true,2535,아시아 정보올림피아드
true,2536,버스 갈아타기
true,2539,모자이크
true,2541,점
true,2542,양팔저울
true,2543,초고속철도
true,2544,격자판
true,2547,사탕 선생 고창영
true,2548,대표 자연수
true,2550,전구
true,2551,두 대표 자연수
true,2552,전구숫자
true,2553,마지막 팩토리얼 수
true,2554,마지막 팩토리얼 수2
true,2555,생일 출력하기
true,2556,별 찍기 - 14
true,2557,Hello World
true,2558,A+B - 2
true,2559,수열
true,2560,짚신벌레
true,2561,세 번 뒤집기
true,2562,최댓값
true,2563,색종이
true,2564,경비원
true,2565,전깃줄
true,2566,최댓값
true,2567,색종이 - 2
true,2568,전깃줄 - 2
true,2569,짐정리
true,2570,비숍2
true,2571,색종이 - 3
true,2572,보드게임
true,2573,빙산
true,2574,마법색종이
true,2576,홀수
true,2577,숫자의 개수
true,2578,빙고
true,2579,계단 오르기
true,2580,스도쿠
true,2581,소수
true,2582,동전 뒤집기 2
true,2583,영역 구하기
true,2584,트리분할
true,2585,경비행기
true,2586,소방차
true,2587,대표값2
true,2588,곱셈
true,2589,보물섬
true,2590,색종이
true,2591,숫자카드
true,2592,대표값
true,2593,엘리베이터
true,2594,놀이공원
true,2595,배수
true,2596,비밀편지
true,2600,구슬게임
true,2601,도서실카펫
true,2602,돌다리 건너기
true,2605,줄 세우기
true,2606,바이러스
true,2607,비슷한 단어
true,2608,로마 숫자
true,2609,최대공약수와 최소공배수
true,2610,회의준비
true,2611,자동차경주
true,2612,DNA 유사도
true,2613,숫자구슬
true,2615,오목
true,2616,소형기관차
true,2617,구슬 찾기
true,2618,경찰차
true,2619,단순 사각형
true,2620,직각다각형의 면적 구하기
true,2622,삼각형만들기
true,2623,음악프로그램
true,2624,동전 바꿔주기
true,2625,DNA유사도
true,2626,헬기착륙장
true,2628,종이자르기
true,2629,양팔저울
true,2630,색종이 만들기
true,2631,줄세우기
true,2632,피자판매
true,2635,수 이어가기
true,2636,치즈
true,2638,치즈
true,2641,다각형그리기
true,2643,색종이 올려 놓기
true,2644,촌수계산
true,2646,같은 길이 막대기 만들기
true,2647,검은점과 하얀점 연결
true,2650,교차점개수
true,2653,안정된 집단
true,2655,가장높은탑쌓기
true,2658,직각이등변삼각형찾기
true,2659,십자카드 문제
true,2660,회장뽑기
true,2661,좋은수열
true,2662,기업투자
true,2664,다각형의 확장
true,2665,미로만들기
true,2666,벽장문의 이동
true,2667,단지번호붙이기
true,2668,숫자고르기
true,2669,직사각형 네개의 합집합의 면적 구하기
true,2670,연속부분최대곱
true,2671,잠수함식별
true,2672,여러 직사각형의 전체 면적 구하기
true,2673,교차하지 않는 원의 현들의 최대집합
true,2675,문자열 반복
true,2676,라스칼 삼각형
true,2679,맨체스터의 도로
true,2684,동전 게임
true,2685,님비합
true,2688,줄어들지 않아
true,2693,N번째 큰 수
true,2694,합이 같은 구간
true,2695,공
true,2696,중앙값 구하기
true,2697,다음수 구하기
true,2698,인접한 비트의 개수
true,2699,격자점 컨벡스헐
true,2702,초6 수학
true,2703,Cryptoquote
true,2706,문자 보내기
true,2709,가장 작은 K
true,2711,오타맨 고창영
true,2712,미국 스타일
true,2718,타일 채우기
true,2720,세탁소 사장 동혁
true,2721,삼각수의 합
true,2725,보이는 점의 개수
true,2728,오늘은 마가리타 한 잔?
true,2729,이진수 덧셈
true,2731,1379와 세제곱
true,2738,행렬 덧셈
true,2739,구구단
true,2740,행렬 곱셈
true,2741,N 찍기
true,2742,기찍 N
true,2743,단어 길이 재기
true,2744,대소문자 바꾸기
true,2745,진법 변환
true,2747,피보나치 수
true,2748,피보나치 수 2
true,2749,피보나치 수 3
true,2750,수 정렬하기
true,2751,수 정렬하기 2
true,2752,세수정렬
true,2753,윤년
true,2754,학점계산
true,2755,이번학기 평점은 몇점?
true,2758,로또
true,2765,자전거 속도
true,2766,사탕 나누기 게임
true,2774,아름다운 수
true,2775,부녀회장이 될테야
true,2776,암기왕
true,2777,숫자 놀이
true,2780,비밀번호
true,2783,삼각 김밥
true,2784,가로 세로 퍼즐
true,2785,체인
true,2786,상근이의 레스토랑
true,2787,흔한 수열 문제
true,2788,스타트업
